striker,phase,runs,balls_faced,lost_wicket,dot_balls,boundaries,fours,sixes,strike_rate,balls_per_dismissal,batting_avg,dot_ball_pct,boundary_pct,six_pct,dismissal_rate,performance_index
AB de Villiers,Death,323,151,9,36,47,22,25,213.91,16.78,35.89,0.24,0.31,16.56,0.06,1.5362133663280948
AB de Villiers,Middle,333,272,11,87,33,24,9,122.43,24.73,30.27,0.32,0.12,3.31,0.04,-1.0559612653851518
AJ Finch,Powerplay,237,234,12,124,33,26,7,101.28,19.5,19.75,0.53,0.14,2.99,0.05,-1.332471606841509
AT Rayudu,Death,206,125,10,38,28,15,13,164.8,12.5,20.6,0.3,0.22,10.4,0.08,-0.011947909784962473
AT Rayudu,Middle,696,536,23,183,84,49,35,129.85,23.3,30.26,0.34,0.16,6.53,0.04,-0.11231169872414362
Abdul Samad,Death,395,229,26,80,55,24,31,172.49,8.81,15.19,0.35,0.24,13.54,0.11,0.5696415919548021
Abdul Samad,Middle,319,257,12,92,36,18,18,124.12,21.42,26.58,0.36,0.14,7.0,0.05,-0.6906555931452024
Abhishek Sharma,Death,68,50,8,21,9,4,5,136.0,6.25,8.5,0.42,0.18,10.0,0.16,-0.793124570109024
Abhishek Sharma,Middle,526,334,23,105,70,39,31,157.49,14.52,22.87,0.31,0.21,9.28,0.07,0.26549080957987514
Abhishek Sharma,Powerplay,1145,731,32,309,187,127,60,156.63,22.84,35.78,0.42,0.26,8.21,0.04,1.4427845289943562
Abishek Porel,Powerplay,317,223,12,94,49,37,12,142.15,18.58,26.42,0.42,0.22,5.38,0.05,-0.3035003274660148
Anuj Rawat,Death,127,69,2,20,19,11,8,184.06,34.5,63.5,0.29,0.28,11.59,0.03,0.940455860358248
Arshad Khan,Death,82,57,6,23,10,4,6,143.86,9.5,13.67,0.4,0.18,10.53,0.11,-0.6138993050526217
Ashutosh Sharma,Death,192,103,10,30,27,13,14,186.41,10.3,19.2,0.29,0.26,13.59,0.1,0.49132497129071934
Ashwin,Death,168,121,12,33,19,14,5,138.84,10.08,14.0,0.27,0.16,4.13,0.1,-1.0298670173518645
Axar Patel,Death,405,262,16,76,48,22,26,154.58,16.38,25.31,0.29,0.18,9.92,0.06,0.021646169662730048
Axar Patel,Middle,404,347,18,143,49,31,18,116.43,19.28,22.44,0.41,0.14,5.19,0.05,-0.8491840642475336
Ayush Badoni,Death,399,256,20,78,51,33,18,155.86,12.8,19.95,0.3,0.2,7.03,0.08,-0.19053322915531265
Ayush Badoni,Middle,461,386,13,138,50,35,15,119.43,29.69,35.46,0.36,0.13,3.89,0.03,-0.7930215332455332
Bairstow,Middle,390,295,16,113,48,30,18,132.2,18.44,24.38,0.38,0.16,6.1,0.05,-0.5622645264921653
Bairstow,Powerplay,727,522,20,232,115,83,32,139.27,26.1,36.35,0.44,0.22,6.13,0.04,0.36914219272464466
Bhuvneshwar Kumar,Death,89,97,9,39,8,8,0,91.75,10.78,9.89,0.4,0.08,0.0,0.09,-2.1429660997921824
Buttler,Death,357,173,12,46,55,30,25,206.36,14.42,29.75,0.27,0.32,14.45,0.07,1.3612471691664552
Buttler,Middle,1177,777,23,233,151,98,53,151.48,33.78,51.17,0.3,0.19,6.82,0.03,0.9994079064622429
Buttler,Powerplay,1200,953,33,460,186,140,46,125.92,28.88,36.36,0.48,0.2,4.83,0.03,0.5717437764367315
C Green,Death,152,86,4,16,19,12,7,176.74,21.5,38.0,0.19,0.22,8.14,0.05,0.09552179898988715
C Green,Middle,306,216,12,64,37,21,16,141.67,18.0,25.5,0.3,0.17,7.41,0.06,-0.42949791610125587
CH Morris,Death,98,64,6,24,12,4,8,153.12,10.67,16.33,0.38,0.19,12.5,0.09,-0.32531957867964606
Conway,Middle,493,322,10,87,64,44,20,153.11,32.2,49.3,0.27,0.2,6.21,0.03,0.216375474234694
