bowler,phase,runs_conceded,balls_bowled,wickets,dot_balls,boundaries,fours,sixes,economy_rate,balls_per_wicket,bowling_avg,dot_ball_pct,boundary_pct,six_pct,performance_index
A Mishra,Middle,223,176,12,52,22,12,10,7.6,14.67,18.58,0.3,0.12,0.06,0.05319770117281021
A Nortje,Death,573,346,21,130,79,44,35,9.94,16.48,27.29,0.38,0.23,0.1,-1.173421013308987
A Nortje,Middle,420,300,17,111,49,29,20,8.4,17.65,24.71,0.37,0.16,0.07,-0.09514839025727392
A Nortje,Powerplay,584,427,22,213,90,72,18,8.21,19.41,26.55,0.5,0.21,0.04,0.9546360890387174
AS Joseph,Middle,270,189,8,69,31,13,18,8.57,23.62,33.75,0.37,0.16,0.1,-0.5986192324741234
Abhishek Sharma,Middle,329,221,9,69,38,21,17,8.93,24.56,36.56,0.31,0.17,0.08,-0.7534199152178029
Akash Deep,Powerplay,256,152,5,65,37,26,11,10.11,30.4,51.2,0.43,0.24,0.07,-0.544260385639805
Akash Madhwal,Middle,305,172,9,51,40,24,16,10.64,19.11,33.89,0.3,0.23,0.09,-1.6623496683397414
Anshul Kamboj,Powerplay,170,127,7,56,25,17,8,8.03,18.14,24.29,0.44,0.2,0.06,0.42636035529624616
Arshad Khan,Powerplay,325,205,7,96,53,40,13,9.51,29.29,46.43,0.47,0.26,0.06,-0.05120803388201937
Arshdeep Singh,Death,778,509,45,186,96,63,33,9.17,11.31,17.29,0.37,0.19,0.06,-0.2717884643811112
Arshdeep Singh,Middle,542,387,13,125,63,47,16,8.4,29.77,41.69,0.32,0.16,0.04,0.09366022210849745
Arshdeep Singh,Powerplay,1132,822,31,387,175,152,23,8.26,26.52,36.52,0.47,0.21,0.03,0.9321863694515381
Ashwin,Middle,1406,1136,42,360,127,72,55,7.43,27.05,33.48,0.32,0.11,0.05,0.38889164630931194
Ashwin,Powerplay,768,594,13,213,90,57,33,7.76,45.69,59.08,0.36,0.15,0.06,0.23266312446630605
Avesh Khan,Death,850,530,34,169,108,71,37,9.62,15.59,25.0,0.32,0.2,0.07,-0.8525784424188103
Avesh Khan,Middle,569,437,25,165,72,54,18,7.81,17.48,22.76,0.38,0.16,0.04,0.5933408320104242
Avesh Khan,Powerplay,785,530,20,240,125,99,26,8.89,26.5,39.25,0.45,0.24,0.05,0.2457662168245107
Axar Patel,Middle,1097,913,30,288,101,56,45,7.21,30.43,36.57,0.32,0.11,0.05,0.4584743030392058
Axar Patel,Powerplay,461,410,18,167,52,34,18,6.75,22.78,25.61,0.41,0.13,0.04,1.1681405956195825
Bhuvneshwar,Powerplay,268,194,8,94,41,29,12,8.29,24.25,33.5,0.48,0.21,0.06,0.5251741623565808
Bhuvneshwar Kumar,Death,658,417,19,134,81,58,23,9.47,21.95,34.63,0.32,0.19,0.06,-0.6275677186634906
Bhuvneshwar Kumar,Middle,235,148,3,37,29,20,9,9.53,49.33,78.33,0.25,0.2,0.06,-1.0394633401711668
Bhuvneshwar Kumar,Powerplay,925,788,26,428,136,111,25,7.04,30.31,35.58,0.54,0.17,0.03,1.793973946927903
Boult,Powerplay,259,184,10,90,41,31,10,8.45,18.4,25.9,0.49,0.22,0.05,0.648980970327391
Bumrah,Death,646,526,39,202,67,48,19,7.37,13.49,16.56,0.38,0.13,0.04,0.8155077295903665
Bumrah,Middle,529,498,35,221,52,39,13,6.37,14.23,15.11,0.44,0.1,0.03,1.6777675015236517
Bumrah,Powerplay,650,589,24,337,94,73,21,6.62,24.54,27.08,0.57,0.16,0.04,1.961116238449349
C Green,Middle,411,293,11,107,54,38,16,8.42,26.64,37.36,0.37,0.18,0.05,0.1429931413648294
C Sakariya,Middle,206,148,6,48,22,18,4,8.35,24.67,34.33,0.32,0.15,0.03,0.28704246553204793
C Sakariya,Powerplay,206,193,6,95,24,16,8,6.4,32.17,34.33,0.49,0.12,0.04,1.7239375727468063
CH Morris,Death,196,132,16,58,24,14,10,8.91,8.25,12.25,0.44,0.18,0.08,-0.0964374993117879
CH Morris,Middle,189,142,6,57,22,13,9,7.99,23.67,31.5,0.4,0.15,0.06,0.36863267033289004
CH Morris,Powerplay,223,192,4,97,27,24,3,6.97,48.0,55.75,0.51,0.14,0.02,1.8924799878590022
