season,bowler,phase,runs_conceded,balls_bowled,wickets,dot_balls,boundaries,fours,sixes,economy_rate,balls_per_wicket,bowling_avg,dot_ball_pct,boundary_pct,six_pct,performance_index
2008,A Kumble,Death,41,15,0,4,6,1,5,16.4,,,0.27,0.4,0.33,-3.893587844458442
2008,A Kumble,Middle,226,172,7,69,31,23,8,7.88,24.57,32.29,0.4,0.18,0.05,0.2628782839731657
2008,A Kumble,Powerplay,47,49,0,24,4,3,1,5.76,,,0.49,0.08,0.02,1.4328493959497497
2008,A Mishra,Middle,115,99,6,38,10,4,6,6.97,16.5,19.17,0.38,0.1,0.06,0.5579365031233816
2008,A Nehra,Death,90,49,2,16,13,10,3,11.02,24.5,45.0,0.33,0.27,0.06,-0.8667049411403157
2008,A Nehra,Middle,58,57,5,28,6,4,2,6.11,11.4,11.6,0.49,0.11,0.04,1.1646439216292366
2008,A Nehra,Powerplay,209,174,5,92,36,33,3,7.21,34.8,41.8,0.53,0.21,0.02,0.8957023025033554
2008,A Nel,Powerplay,23,12,1,3,4,3,1,11.5,12.0,23.0,0.25,0.33,0.08,-1.536964293564186
2008,A Symonds,Middle,87,39,0,14,12,5,7,13.38,,,0.36,0.31,0.18,-1.949044934177485
2008,AA Noffke,Powerplay,30,13,0,3,3,1,2,13.85,,,0.23,0.23,0.15,-2.053855411214906
2008,AB Agarkar,Death,11,13,2,5,0,0,0,5.08,6.5,5.5,0.38,0.0,0.0,1.5376770935700381
2008,AB Agarkar,Middle,69,56,3,24,9,7,2,7.39,18.67,23.0,0.43,0.16,0.04,0.5719264933050319
2008,AB Agarkar,Powerplay,116,86,3,46,18,12,6,8.09,28.67,38.67,0.53,0.21,0.07,0.4738189420380343
2008,AB Dinda,Death,10,12,0,5,1,1,0,5.0,,,0.42,0.08,0.0,1.425235931087304
2008,AB Dinda,Middle,84,62,2,21,12,11,1,8.13,31.0,42.0,0.34,0.19,0.02,0.14112282176817675
2008,AB Dinda,Powerplay,162,159,7,99,25,25,0,6.11,22.71,23.14,0.62,0.16,0.0,1.672443854806318
2008,AD Mascarenhas,Middle,11,13,2,8,0,0,0,5.08,6.5,5.5,0.62,0.0,0.0,2.378605070451143
2008,AD Mascarenhas,Powerplay,20,12,0,3,3,3,0,10.0,,,0.25,0.25,0.0,-0.5803073896839251
2008,AM Nayar,Middle,69,43,1,16,9,3,6,9.63,43.0,69.0,0.37,0.21,0.14,-0.729452065998675
2008,Abdur Razzak,Middle,29,14,0,6,4,3,1,12.43,,,0.43,0.29,0.07,-0.8756219247720617
2008,B Akhil,Middle,116,90,1,31,13,8,5,7.73,90.0,116.0,0.34,0.14,0.06,0.15637833771059764
2008,B Geeves,Middle,41,24,1,8,8,8,0,10.25,24.0,41.0,0.33,0.33,0.0,-0.6083249452079871
2008,B Geeves,Powerplay,50,25,0,8,10,9,1,12.0,,,0.32,0.4,0.04,-1.3903639443996845
2008,B Lee,Death,29,18,0,5,4,3,1,9.67,,,0.28,0.22,0.06,-0.6475910964325597
2008,B Lee,Middle,22,18,0,7,3,3,0,7.33,,,0.39,0.17,0.0,0.6272552209166831
2008,B Lee,Powerplay,67,63,4,39,11,10,1,6.38,15.75,16.75,0.62,0.17,0.02,1.4842755355537607
2008,BAW Mendis,Powerplay,13,12,0,5,2,2,0,6.5,,,0.42,0.17,0.0,0.872543267601129
2008,CRD Fernando,Death,83,45,3,15,11,6,5,11.07,15.0,27.67,0.33,0.24,0.11,-1.0486263579220667
