season,cleaned_team_batting,phase,deliveries,total_runs,wickets,boundaries,fours,sixes,dot_balls,run_rate,balls_played_per_wkt,dot_ball_percentage,boundary_percentage,Six_Rate
2008,CSK,Death,323,548,24,73,46,27,100,10.18,13.46,30.96,22.6,8.36
2008,CSK,Middle,829,1116,30,128,81,47,305,8.08,27.63,36.79,15.44,5.67
2008,CSK,Powerplay,671,801,25,121,109,12,365,7.16,26.84,54.4,18.03,1.79
2008,DC,Death,208,334,21,44,30,14,69,9.63,9.9,33.17,21.15,6.73
2008,DC,Middle,699,900,27,95,75,20,235,7.73,25.89,33.62,13.59,2.86
2008,DC,Powerplay,567,766,25,117,103,14,248,8.11,22.68,43.74,20.63,2.47
2008,KKR,Death,233,438,21,52,23,29,57,11.28,11.1,24.46,22.32,12.45
2008,KKR,Middle,666,791,32,86,56,30,284,7.13,20.81,42.64,12.91,4.5
2008,KKR,Powerplay,534,564,30,83,68,14,317,6.34,17.8,59.36,15.54,2.62
2008,MI,Death,248,383,27,50,32,18,96,9.27,9.19,38.71,20.16,7.26
2008,MI,Middle,711,924,34,111,80,30,282,7.8,20.91,39.66,15.61,4.22
2008,MI,Powerplay,625,773,19,114,85,28,367,7.42,32.89,58.72,18.24,4.48
2008,PBKS,Death,305,504,26,67,43,24,108,9.91,11.73,35.41,21.97,7.87
2008,PBKS,Middle,778,1066,31,129,88,41,288,8.22,25.1,37.02,16.58,5.27
2008,PBKS,Powerplay,606,800,19,119,96,22,280,7.92,31.89,46.2,19.64,3.63
2008,RCB,Death,269,413,28,54,32,22,96,9.21,9.61,35.69,20.07,8.18
2008,RCB,Middle,773,956,46,108,82,26,281,7.42,16.8,36.35,13.97,3.36
2008,RCB,Powerplay,617,614,32,84,73,11,346,5.97,19.28,56.08,13.61,1.78
2008,RR,Death,272,407,23,47,35,12,90,8.98,11.83,33.09,17.28,4.41
2008,RR,Middle,885,1311,38,165,114,51,312,8.89,23.29,35.25,18.64,5.76
2008,RR,Powerplay,704,883,27,132,110,22,365,7.53,26.07,51.85,18.75,3.12
2008,SRH,Death,307,541,41,76,44,32,107,10.57,7.49,34.85,24.76,10.42
2008,SRH,Middle,750,950,31,110,69,41,291,7.6,24.19,38.8,14.67,5.47
2008,SRH,Powerplay,611,738,21,113,92,19,317,7.25,29.1,51.88,18.49,3.11
2009,CSK,Death,310,441,29,51,35,16,107,8.54,10.69,34.52,16.45,5.16
2009,CSK,Middle,720,842,29,74,49,25,262,7.02,24.83,36.39,10.28,3.47
2009,CSK,Powerplay,570,763,20,112,89,23,272,8.03,28.5,47.72,19.65,4.04
2009,DC,Death,291,470,26,58,40,18,97,9.69,11.19,33.33,19.93,6.19
2009,DC,Middle,777,870,22,70,55,15,267,6.72,35.32,34.36,9.01,1.93
2009,DC,Powerplay,612,733,27,102,87,15,301,7.19,22.67,49.18,16.67,2.45
2009,KKR,Death,243,408,15,46,29,17,57,10.07,16.2,23.46,18.93,7.0
2009,KKR,Middle,599,659,27,61,48,13,231,6.6,22.19,38.56,10.18,2.17
2009,KKR,Powerplay,483,461,21,64,50,14,291,5.73,23.0,60.25,13.25,2.9
2009,MI,Death,298,477,28,53,34,19,75,9.6,10.64,25.17,17.79,6.38
2009,MI,Middle,726,849,28,77,57,20,267,7.02,25.93,36.78,10.61,2.75
2009,MI,Powerplay,586,571,26,70,54,15,348,5.85,22.54,59.39,11.95,2.56
2009,PBKS,Death,267,351,20,39,29,10,115,7.89,13.35,43.07,14.61,3.75
2009,PBKS,Middle,613,640,26,51,34,17,246,6.26,23.58,40.13,8.32,2.77
2009,PBKS,Powerplay,493,501,25,60,45,15,274,6.1,19.72,55.58,12.17,3.04
2009,RCB,Death,343,546,28,61,29,32,119,9.55,12.25,34.69,17.78,9.33
2009,RCB,Middle,881,1013,46,100,75,24,339,6.9,19.15,38.48,11.35,2.72
2009,RCB,Powerplay,705,721,32,100,88,11,397,6.14,22.03,56.31,14.18,1.56
2009,RR,Death,235,297,22,33,25,8,85,7.58,10.68,36.17,14.04,3.4
2009,RR,Middle,654,781,37,82,59,23,254,7.17,17.68,38.84,12.54,3.52
2009,RR,Powerplay,528,460,28,61,52,9,334,5.23,18.86,63.26,11.55,1.7
2009,SRH,Death,329,482,35,44,26,18,100,8.79,9.4,30.4,13.37,5.47
2009,SRH,Middle,861,1026,40,94,52,42,326,7.15,21.52,37.86,10.92,4.88
2009,SRH,Powerplay,700,900,26,134,95,39,368,7.71,26.92,52.57,19.14,5.57
2010,CSK,Death,340,549,23,67,43,24,106,9.69,14.78,31.18,19.71,7.06
2010,CSK,Middle,820,1080,33,113,68,44,281,7.9,24.85,34.27,13.78,5.37
2010,CSK,Powerplay,658,830,24,116,92,24,326,7.57,27.42,49.54,17.63,3.65
2010,DC,Death,297,440,20,48,29,19,98,8.89,14.85,33.0,16.16,6.4
2010,DC,Middle,779,882,35,77,58,19,269,6.79,22.26,34.53,9.88,2.44
2010,DC,Powerplay,610,833,33,123,103,20,276,8.19,18.48,45.25,20.16,3.28
2010,KKR,Death,308,466,21,52,30,22,105,9.08,14.67,34.09,16.88,7.14
2010,KKR,Middle,785,946,27,96,70,26,287,7.23,29.07,36.56,12.23,3.31
2010,KKR,Powerplay,623,732,23,114,99,15,353,7.05,27.09,56.66,18.3,2.41
2010,MI,Death,386,718,35,99,65,34,108,11.16,11.03,27.98,25.65,8.81
2010,MI,Middle,888,1100,43,106,73,33,319,7.43,20.65,35.92,11.94,3.72
2010,MI,Powerplay,721,920,24,131,123,8,339,7.66,30.04,47.02,18.17,1.11
2010,PBKS,Death,299,511,21,68,52,16,94,10.25,14.24,31.44,22.74,5.35
2010,PBKS,Middle,720,911,31,96,72,24,227,7.59,23.23,31.53,13.33,3.33
2010,PBKS,Powerplay,571,720,20,110,95,14,290,7.57,28.55,50.79,19.26,2.45
2010,RCB,Death,285,505,23,67,40,27,79,10.63,12.39,27.72,23.51,9.47
2010,RCB,Middle,839,1061,45,106,67,38,282,7.59,18.64,33.61,12.63,4.53
2010,RCB,Powerplay,703,835,18,119,107,12,344,7.13,39.06,48.93,16.93,1.71
2010,RR,Death,279,404,33,48,33,15,96,8.69,8.45,34.41,17.2,5.38
2010,RR,Middle,772,1013,35,113,71,42,280,7.87,22.06,36.27,14.64,5.44
2010,RR,Powerplay,613,762,26,115,98,17,308,7.46,23.58,50.24,18.76,2.77
2010,SRH,Death,345,456,38,49,26,23,133,7.93,9.08,38.55,14.2,6.67
2010,SRH,Middle,890,1087,39,114,80,34,333,7.33,22.82,37.42,12.81,3.82
2010,SRH,Powerplay,708,831,37,118,91,27,376,7.04,19.14,53.11,16.67,3.81
2011,CSK,Death,338,601,28,73,38,35,90,10.67,12.07,26.63,21.6,10.36
2011,CSK,Middle,774,1068,19,119,84,35,221,8.28,40.74,28.55,15.37,4.52
2011,CSK,Powerplay,608,646,19,78,61,16,312,6.38,32.0,51.32,12.83,2.63
2011,DC,Death,305,479,30,63,39,24,121,9.42,10.17,39.67,20.66,7.87
2011,DC,Middle,723,939,34,107,73,34,272,7.79,21.26,37.62,14.8,4.7
2011,DC,Powerplay,574,613,28,85,70,15,331,6.41,20.5,57.67,14.81,2.61
2011,KKR,Death,255,377,24,44,32,12,81,8.87,10.62,31.76,17.25,4.71
2011,KKR,Middle,711,861,22,92,70,22,258,7.27,32.32,36.29,12.94,3.09
2011,KKR,Powerplay,566,635,19,85,75,8,277,6.73,29.79,48.94,15.02,1.41
2011,Kochi Tuskers Kerala,Death,238,337,29,35,21,14,83,8.5,8.21,34.87,14.71,5.88
2011,Kochi Tuskers Kerala,Middle,672,716,30,66,51,15,269,6.39,22.4,40.03,9.82,2.23
2011,Kochi Tuskers Kerala,Powerplay,580,713,24,103,86,17,306,7.38,24.17,52.76,17.76,2.93
2011,MI,Death,343,522,19,64,42,22,113,9.13,18.05,32.94,18.66,6.41
2011,MI,Middle,872,1008,39,108,81,27,342,6.94,22.36,39.22,12.39,3.1
2011,MI,Powerplay,692,758,24,106,98,8,366,6.57,28.83,52.89,15.32,1.16
2011,PBKS,Death,311,407,27,48,36,12,121,7.85,11.52,38.91,15.43,3.86
2011,PBKS,Middle,776,1071,38,130,85,44,287,8.28,20.42,36.98,16.75,5.67
2011,PBKS,Powerplay,618,746,23,116,98,18,340,7.24,26.87,55.02,18.77,2.91
2011,Pune Warriors,Death,251,339,21,35,16,19,99,8.1,11.95,39.44,13.94,7.57
2011,Pune Warriors,Middle,710,831,37,91,61,30,304,7.02,19.19,42.82,12.82,4.23
2011,Pune Warriors,Powerplay,565,605,25,88,77,11,317,6.42,22.6,56.11,15.58,1.95
2011,RCB,Death,280,432,21,53,32,21,94,9.26,13.33,33.57,18.93,7.5
2011,RCB,Middle,819,1103,27,127,82,45,295,8.08,30.33,36.02,15.51,5.49
2011,RCB,Powerplay,657,829,25,124,98,26,336,7.57,26.28,51.14,18.87,3.96
2011,RR,Death,206,262,15,24,19,5,78,7.63,13.73,37.86,11.65,2.43
2011,RR,Middle,681,833,37,91,62,29,257,7.34,18.41,37.74,13.36,4.26
2011,RR,Powerplay,565,592,16,81,72,8,303,6.29,35.31,53.63,14.34,1.42
2011,SRH,Death,340,490,33,52,39,13,92,8.65,10.3,27.06,15.29,3.82
2011,SRH,Middle,768,957,36,98,74,24,244,7.48,21.33,31.77,12.76,3.12
2011,SRH,Powerplay,611,693,18,94,81,11,297,6.81,33.94,48.61,15.38,1.8
2012,CSK,Death,410,704,37,76,40,36,100,10.3,11.08,24.39,18.54,8.78
2012,CSK,Middle,992,1209,43,121,83,38,349,7.31,23.07,35.18,12.2,3.83
2012,CSK,Powerplay,781,918,21,128,100,28,394,7.05,37.19,50.45,16.39,3.59
2012,DC,Death,262,389,24,51,35,16,97,8.91,10.92,37.02,19.47,6.11
2012,DC,Middle,939,1237,40,133,83,49,327,7.9,23.48,34.82,14.16,5.22
2012,DC,Powerplay,778,1019,30,146,114,32,369,7.86,25.93,47.43,18.77,4.11
2012,KKR,Death,360,536,31,62,42,19,118,8.93,11.61,32.78,17.22,5.28
2012,KKR,Middle,915,1084,37,101,73,28,308,7.11,24.73,33.66,11.04,3.06
2012,KKR,Powerplay,748,884,26,117,95,22,360,7.09,28.77,48.13,15.64,2.94
2012,MI,Death,372,547,36,71,45,26,133,8.82,10.33,35.75,19.09,6.99
2012,MI,Middle,938,1138,47,119,82,37,338,7.28,19.96,36.03,12.69,3.94
2012,MI,Powerplay,744,777,24,110,92,17,416,6.27,31.0,55.91,14.78,2.28
2012,PBKS,Death,354,546,34,65,40,24,108,9.25,10.41,30.51,18.36,6.78
2012,PBKS,Middle,881,1088,43,114,85,29,315,7.41,20.49,35.75,12.94,3.29
2012,PBKS,Powerplay,692,756,25,109,101,8,355,6.55,27.68,51.3,15.75,1.16
2012,Pune Warriors,Death,389,547,36,56,32,24,126,8.44,10.81,32.39,14.4,6.17
