season,striker,phase,runs,balls_faced,lost_wicket,dot_balls,boundaries,fours,sixes,strike_rate,balls_per_dismissal,batting_avg,dot_ball_pct,boundary_pct,six_pct,dismissal_rate,performance_index
2008,A Chopra,Middle,18,18,2,8,2,2,0,100.0,9.0,9.0,0.44,0.11,0.0,0.11,-1.1239869918566667
2008,A Chopra,Powerplay,24,37,2,22,3,3,0,64.86,18.5,12.0,0.59,0.08,0.0,0.05,-1.277312958368976
2008,A Kumble,Death,8,14,1,7,0,0,0,57.14,14.0,8.0,0.5,0.0,0.0,0.07,-1.6182836722019864
2008,A Mishra,Middle,36,38,3,13,3,3,0,94.74,12.67,12.0,0.34,0.08,0.0,0.08,-1.1468177425726962
2008,A Nehra,Death,3,13,0,10,0,0,0,23.08,,,0.77,0.0,0.0,0.0,-1.8639063883087308
2008,A Symonds,Death,38,17,1,5,6,2,4,223.53,17.0,38.0,0.29,0.35,23.53,0.06,1.3910958274785148
2008,A Symonds,Middle,85,61,1,23,11,6,5,139.34,61.0,85.0,0.38,0.18,8.2,0.02,1.0014963617479313
2008,A Symonds,Powerplay,38,33,0,19,7,7,0,115.15,,,0.58,0.21,0.0,0.0,-0.8074729606220469
2008,AA Noffke,Middle,9,12,1,6,1,1,0,75.0,12.0,9.0,0.5,0.08,0.0,0.08,-1.326646195649283
2008,AB Agarkar,Middle,24,25,2,12,3,3,0,96.0,12.5,12.0,0.48,0.12,0.0,0.08,-1.054873455227851
2008,AB Agarkar,Powerplay,20,15,1,9,3,1,2,133.33,15.0,20.0,0.6,0.2,13.33,0.07,-0.08113796970808182
2008,AB de Villiers,Middle,59,63,2,22,2,2,0,93.65,31.5,29.5,0.35,0.03,0.0,0.03,-1.076367490129897
2008,AB de Villiers,Powerplay,28,30,2,16,3,2,1,93.33,15.0,14.0,0.53,0.1,3.33,0.07,-0.9117031231806048
2008,AC Gilchrist,Middle,129,88,5,31,17,9,8,146.59,17.6,25.8,0.35,0.19,9.09,0.06,0.7675922122627047
2008,AC Gilchrist,Powerplay,307,240,8,122,53,42,11,127.92,30.0,38.38,0.51,0.22,4.58,0.03,2.035774473537288
2008,AM Nayar,Death,65,30,4,7,11,7,4,216.67,7.5,16.25,0.23,0.37,13.33,0.13,0.9886399699614665
2008,AM Nayar,Middle,141,112,4,35,14,9,5,125.89,28.0,35.25,0.31,0.12,4.46,0.04,0.18822966024299276
2008,Arjun Yadav,Death,39,30,6,13,6,5,1,130.0,5.0,6.5,0.43,0.2,3.33,0.2,-0.5403317622554488
2008,B Akhil,Death,41,25,1,9,6,3,3,164.0,25.0,41.0,0.36,0.24,12.0,0.04,0.5182720389719027
2008,B Chipli,Powerplay,20,30,3,19,3,3,0,66.67,10.0,6.67,0.63,0.1,0.0,0.1,-1.2907284561060084
2008,B Lee,Death,17,14,2,8,3,2,1,121.43,7.0,8.5,0.57,0.21,7.14,0.14,-0.5074622479999021
2008,BB McCullum,Death,56,18,0,2,8,2,6,311.11,,,0.11,0.44,33.33,0.0,2.003883610161806
2008,BB McCullum,Middle,58,34,0,10,7,3,4,170.59,,,0.29,0.21,11.76,0.0,0.08478049735159952
2008,BB McCullum,Powerplay,74,44,3,20,13,8,5,168.18,14.67,24.67,0.45,0.3,11.36,0.07,0.8050971517948678
2008,BJ Hodge,Powerplay,12,18,2,12,2,2,0,66.67,9.0,6.0,0.67,0.11,0.0,0.11,-1.3058764809031222
2008,CK Kapugedera,Death,13,18,2,7,0,0,0,72.22,9.0,6.5,0.39,0.0,0.0,0.11,-1.5705881682160812
2008,CL White,Middle,88,76,4,26,9,6,3,115.79,19.0,22.0,0.34,0.12,3.95,0.05,-0.32900611156532045
2008,CL White,Powerplay,11,22,1,14,1,1,0,50.0,22.0,11.0,0.64,0.05,0.0,0.05,-1.4764420111969878
2008,D Salunkhe,Death,25,17,1,6,4,4,0,147.06,17.0,25.0,0.35,0.24,0.0,0.06,-0.3864915991815237
2008,DB Das,Death,12,12,2,4,1,1,0,100.0,6.0,6.0,0.33,0.08,0.0,0.17,-1.2537905060679944
2008,DB Das,Middle,30,21,0,6,3,1,2,142.86,,,0.29,0.14,9.52,0.0,-0.5217650958589616
