season,cleaned_team_bowling,phase,deliveries,total_runs,wickets,boundaries,fours,sixes,dot_balls,economy_rate,balls_bowled_per_wkt,dot_ball_percentage,boundary_percentage,Six_Rate
2008,CSK,Death,302,487,33,62,42,20,90,9.68,9.15,29.8,20.53,6.62
2008,CSK,Middle,822,1083,32,123,85,37,304,7.91,25.69,36.98,14.96,4.5
2008,CSK,Powerplay,660,849,23,119,91,28,326,7.72,28.7,49.39,18.03,4.24
2008,DC,Death,311,508,33,67,40,27,92,9.8,9.42,29.58,21.54,8.68
2008,DC,Middle,726,911,36,104,72,32,280,7.53,20.17,38.57,14.33,4.41
2008,DC,Powerplay,573,710,24,109,89,19,303,7.43,23.88,52.88,19.02,3.32
2008,KKR,Death,163,251,15,32,23,9,62,9.24,10.87,38.04,19.63,5.52
2008,KKR,Middle,609,817,28,95,67,28,236,8.05,21.75,38.75,15.6,4.6
2008,KKR,Powerplay,527,595,27,90,78,11,302,6.77,19.52,57.31,17.08,2.09
2008,MI,Death,262,436,25,55,34,21,95,9.98,10.48,36.26,20.99,8.02
2008,MI,Middle,753,944,41,111,84,27,290,7.52,18.37,38.51,14.74,3.59
2008,MI,Powerplay,612,716,28,105,86,18,315,7.02,21.86,51.47,17.16,2.94
2008,PBKS,Death,303,492,27,60,38,22,104,9.74,11.22,34.32,19.8,7.26
2008,PBKS,Middle,763,1084,33,133,80,53,272,8.52,23.12,35.65,17.43,6.95
2008,PBKS,Powerplay,630,723,31,111,99,12,352,6.89,20.32,55.87,17.62,1.9
2008,RCB,Death,233,392,21,56,35,21,82,10.09,11.1,35.19,24.03,9.01
2008,RCB,Middle,770,1036,29,130,94,36,286,8.07,26.55,37.14,16.88,4.68
2008,RCB,Powerplay,620,777,16,109,90,18,318,7.52,38.75,51.29,17.58,2.9
2008,RR,Death,318,502,37,67,41,26,120,9.47,8.59,37.74,21.07,8.18
2008,RR,Middle,877,1079,44,112,72,40,333,7.38,19.93,37.97,12.77,4.56
2008,RR,Powerplay,704,822,28,126,105,20,384,7.01,25.14,54.55,17.9,2.84
2008,SRH,Death,273,500,20,64,32,32,78,10.99,13.65,28.57,23.44,11.72
2008,SRH,Middle,771,1060,26,124,91,33,277,8.25,29.65,35.93,16.08,4.28
2008,SRH,Powerplay,609,747,21,114,98,16,305,7.36,29.0,50.08,18.72,2.63
2009,CSK,Death,255,423,21,50,28,22,75,9.95,12.14,29.41,19.61,8.63
2009,CSK,Middle,698,731,41,69,53,16,285,6.28,17.02,40.83,9.89,2.29
2009,CSK,Powerplay,562,676,26,98,77,21,280,7.22,21.62,49.82,17.44,3.74
2009,DC,Death,313,422,37,45,27,18,119,8.09,8.46,38.02,14.38,5.75
2009,DC,Middle,780,947,32,96,73,23,292,7.28,24.38,37.44,12.31,2.95
2009,DC,Powerplay,635,685,30,89,67,21,354,6.47,21.17,55.75,14.02,3.31
