Match ID,Date,Venue,Team A,Team A Score,Team B,Team B Score,Match Status,Match Name
43,15-06-2025,"Andheri Sports Complex, Mumbai",Bengaluru Bravehearts,21,Delhi Redz,21,Match Completed,"Rugby Premier League, 2025"
44,15-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,24,Mumbai Dreamers,5,Match Completed,"Rugby Premier League, 2025"
45,15-06-2025,"Andheri Sports Complex, Mumbai",Hyderabad Heroes,24,Kalinga Black Tigers,14,Match Completed,"Rugby Premier League, 2025"
46,16-06-2025,"Andheri Sports Complex, Mumbai",Kalinga Black Tigers,10,Bengaluru Bravehearts,35,Match Completed,"Rugby Premier League, 2025"
66,16-06-2025,"Andheri Sports Complex, Mumbai",Mumbai Dreamers,17,Chennai Bulls,31,Match Completed,"Rugby Premier League, 2025"
67,17-06-2025,"Andheri Sports Complex, Mumbai",Delhi Redz,7,Chennai Bulls,21,Match Completed,"Rugby Premier League, 2025"
68,17-06-2025,"Andheri Sports Complex, Mumbai",Hyderabad Heroes,43,Bengaluru Bravehearts,7,Match Completed,"Rugby Premier League, 2025"
69,18-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,26,Kalinga Black Tigers,26,Match Completed,"Rugby Premier League, 2025"
70,18-06-2025,"Andheri Sports Complex, Mumbai",Mumbai Dreamers,7,Delhi Redz,20,Match Completed,"Rugby Premier League, 2025"
71,19-06-2025,"Andheri Sports Complex, Mumbai",Bengaluru Bravehearts,12,Mumbai Dreamers,7,Match Completed,"Rugby Premier League, 2025"
72,19-06-2025,"Andheri Sports Complex, Mumbai",Kalinga Black Tigers,12,Hyderabad Heroes,43,Match Completed,"Rugby Premier League, 2025"
73,20-06-2025,"Andheri Sports Complex, Mumbai",Bengaluru Bravehearts,26,Chennai Bulls,0,Match Completed,"Rugby Premier League, 2025"
74,20-06-2025,"Andheri Sports Complex, Mumbai",Kalinga Black Tigers,7,Delhi Redz,21,Match Completed,"Rugby Premier League, 2025"
75,20-06-2025,"Andheri Sports Complex, Mumbai",Mumbai Dreamers,12,Hyderabad Heroes,19,Match Completed,"Rugby Premier League, 2025"
76,21-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,31,Bengaluru Bravehearts,24,Match Completed,"Rugby Premier League, 2025"
77,21-06-2025,"Andheri Sports Complex, Mumbai",Hyderabad Heroes,24,Mumbai Dreamers,17,Match Completed,"Rugby Premier League, 2025"
78,21-06-2025,"Andheri Sports Complex, Mumbai",Delhi Redz,15,Kalinga Black Tigers,19,Match Completed,"Rugby Premier League, 2025"
79,22-06-2025,"Andheri Sports Complex, Mumbai",Bengaluru Bravehearts,26,Hyderabad Heroes,21,Match Completed,"Rugby Premier League, 2025"
80,22-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,24,Delhi Redz,7,Match Completed,"Rugby Premier League, 2025"
81,22-06-2025,"Andheri Sports Complex, Mumbai",Kalinga Black Tigers,17,Mumbai Dreamers,17,Match Completed,"Rugby Premier League, 2025"
82,23-06-2025,"Andheri Sports Complex, Mumbai",Delhi Redz,22,Bengaluru Bravehearts,12,Match Completed,"Rugby Premier League, 2025"
83,23-06-2025,"Andheri Sports Complex, Mumbai",Hyderabad Heroes,28,Chennai Bulls,7,Match Completed,"Rugby Premier League, 2025"
84,24-06-2025,"Andheri Sports Complex, Mumbai",Mumbai Dreamers,5,Kalinga Black Tigers,33,Match Completed,"Rugby Premier League, 2025"
85,24-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,0,Hyderabad Heroes,17,Match Completed,"Rugby Premier League, 2025"
86,25-06-2025,"Andheri Sports Complex, Mumbai",Bengaluru Bravehearts,34,Kalinga Black Tigers,26,Match Completed,"Rugby Premier League, 2025"
87,25-06-2025,"Andheri Sports Complex, Mumbai",Delhi Redz,19,Mumbai Dreamers,19,Match Completed,"Rugby Premier League, 2025"
88,26-06-2025,"Andheri Sports Complex, Mumbai",Kalinga Black Tigers,21,Chennai Bulls,40,Match Completed,"Rugby Premier League, 2025"
89,26-06-2025,"Andheri Sports Complex, Mumbai",Hyderabad Heroes,40,Delhi Redz,19,Match Completed,"Rugby Premier League, 2025"
90,27-06-2025,"Andheri Sports Complex, Mumbai",Delhi Redz,7,Hyderabad Heroes,31,Match Completed,"Rugby Premier League, 2025"
91,27-06-2025,"Andheri Sports Complex, Mumbai",Mumbai Dreamers,26,Bengaluru Bravehearts,14,Match Completed,"Rugby Premier League, 2025"
92,28-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,31,Bengaluru Bravehearts,12,Match Completed,"Rugby Premier League, 2025"
93,28-06-2025,"Andheri Sports Complex, Mumbai",Hyderabad Heroes,7,Delhi Redz,14,Match Completed,"Rugby Premier League, 2025"
94,29-06-2025,"Andheri Sports Complex, Mumbai",Bengaluru Bravehearts,12,Hyderabad Heroes,17,Match Completed,"Rugby Premier League, 2025"
95,29-06-2025,"Andheri Sports Complex, Mumbai",Chennai Bulls,41,Delhi Redz,0,Match Completed,"Rugby Premier League, 2025"
